,h,T,M,Lambda_lhs,s
367,-8554.979819,15682985.19,726000,6.18E-05,0.000327613
368,-24387.41108,41256754.89,725000,6.17E-05,0.000760967
369,-1915.157401,25722057.11,728000,6.23E-05,0.000498267
370,-13736.86033,35089859.56,728000,6.22E-05,0.000656943
371,-25013.66851,37755800.46,728000,6.22E-05,0.000702129
372,-30238.83389,31507914.78,728000,6.23E-05,0.000596332
373,-4279.683144,7562692.187,732000,6.30E-05,0.000191181
374,-21559.40904,2096146.465,731000,6.28E-05,9.83E-05
375,-7554.478105,6933870.23,734000,6.33E-05,0.000180823
376,-9442.738447,44589099.59,735000,6.34E-05,0.000819147
377,-19884.86637,24848059.78,735000,6.34E-05,0.000484554
378,-152.9192162,38602121.75,738000,6.40E-05,0.000718273
379,-16722.25488,41388527.53,737000,6.38E-05,0.0007653
380,-3046.162401,7159689.824,740000,6.43E-05,0.000185651
381,-9241.305879,5323765.131,740000,6.44E-05,0.000154633
382,-17392.72824,10584075.12,740000,6.44E-05,0.000243791
383,-16261.5467,34150399.11,741000,6.46E-05,0.00064342
384,-20525.15006,7220167.651,742000,6.47E-05,0.000187076
385,-9877.86107,6619668.2,744000,6.51E-05,0.000177298
386,-4521.973091,8096121.376,746000,6.54E-05,0.000202622
387,-31850.89374,6975689.693,744000,6.50E-05,0.000183232
388,-12794.06271,36630371.43,747000,6.56E-05,0.000686454
389,-6706.757588,27397226.98,749000,6.59E-05,0.00053026
390,-31709.92538,28750086.61,747000,6.55E-05,0.00055279
391,-23714.72103,32982267.56,749000,6.59E-05,0.000624921
392,-25971.55259,34901336.99,750000,6.60E-05,0.000657548
393,-15184.24573,4090669.111,752000,6.64E-05,0.000135733
394,-29443.00438,34338237.99,751000,6.63E-05,0.000648304
395,-19440.74341,26767511.47,754000,6.67E-05,0.000520387
396,-28478.58548,33477427.7,754000,6.67E-05,0.000634114
397,-27084.05683,23402364.5,755000,6.69E-05,0.00046355
398,-9270.462244,979265.7894,758000,6.75E-05,8.41E-05
399,-10817.04514,13941741.37,759000,6.76E-05,0.000303901
400,-227.4612149,39555187.55,761000,6.80E-05,0.000738427
401,-23698.45265,15050829.05,759000,6.77E-05,0.000322799
